Name;Country;ProneAccuracy;StandingAccuracy;SkiSpeed;Stamina;Gender;Age
GLASSFORD Moira;CAN;71.429;48.571;12.687;61.556;JWOMEN;17
KLAFKI Nadia;CAN;85.000;60.000;1.000;23.782;JWOMEN;19
STECK DIETZ Maike;CHI;77.143;70.476;1.000;31.640;WOMEN;20
MENG Fanqi;CHN;92.653;90.204;51.951;80.519;WOMEN;27
CHU Yuanmeng;CHN;92.143;87.857;48.493;76.070;WOMEN;26
TANG Jialin;CHN;87.879;80.606;49.499;52.440;WOMEN;34
ZHOU Yang;CHN;70.000;82.500;37.387;78.509;WOMEN;25
YANG Lianhong;CHN;80.000;73.333;22.049;79.452;JWOMEN;23
WEN Ying;CHN;71.111;80.000;24.521;67.134;JWOMEN;30
KOZICA Anika;CRO;86.441;70.508;43.375;63.728;WOMEN;28
MORIC Iva;CRO;84.000;80.000;34.603;64.968;WOMEN;21
SOBOL Ema;CRO;72.857;71.429;25.626;65.874;WOMEN;18
LEGOVIC Ines;CRO;35.000;54.375;19.620;51.265;JWOMEN;16
VOBORNIKOVA Tereza;CZE;90.781;87.500;64.819;76.779;WOMEN;25
DAVIDOVA Marketa;CZE;78.667;76.889;71.412;85.862;WOMEN;28
JISLOVA Jessica;CZE;90.462;79.692;56.956;76.239;WOMEN;31
CHARVATOVA Lucie;CZE;80.926;65.926;66.618;74.033;WOMEN;32
VINKLARKOVA Tereza;CZE;85.122;75.122;55.328;72.190;WOMEN;27
PLECHACOVA Ilona;CZE;89.091;74.545;52.441;64.818;WOMEN;19
OTCOVSKA Kristyna;CZE;86.087;71.304;48.676;79.258;WOMEN;25
MIKOLASOVA Heda;CZE;74.603;69.841;50.047;75.053;JWOMEN;19
PETROSOVA Tereza;CZE;93.333;84.444;30.216;74.946;JWOMEN;18
PAVLU Katerina;CZE;87.586;81.609;46.395;55.684;JWOMEN;22
JANDUROVA Lucie;CZE;85.128;81.026;39.467;64.352;JWOMEN;18
SIBRAVOVA Eliska;CZE;88.571;74.286;47.728;49.413;JWOMEN;23
CERVENA Miroslava;CZE;87.018;71.228;37.067;64.347;JWOMEN;20
KOCMANKOVA Dominika;CZE;72.000;76.000;36.865;69.662;JWOMEN;17
KRIZOVA Valerie;CZE;78.889;81.111;32.896;64.844;JWOMEN;19
SVECOVA Natalie;CZE;93.333;96.000;25.168;51.993;JWOMEN;17
VACLAVIKOVA Eliska;CZE;80.000;78.000;33.033;60.040;JWOMEN;26
MATEJKOVA Anna;CZE;78.919;68.108;32.955;67.246;JWOMEN;19
GOTVALDOVA Katerina;CZE;80.000;60.000;24.542;79.752;JWOMEN;22
KRAMPOTOVA Adela;CZE;95.000;70.000;16.752;70.208;JWOMEN;17
MIHULKOVA Marketa;CZE;80.000;73.333;22.346;69.848;JWOMEN;20
NOVOTNA Aneta;CZE;80.000;60.000;18.116;65.392;JWOMEN;20
MOSKVOVA Agata;CZE;70.000;75.000;9.296;60.810;JWOMEN;20
DE BESCHE Anne;DEN;88.421;86.316;54.855;74.960;WOMEN;25
ROENHEDE Leonora;DEN;75.789;74.737;37.087;75.584;WOMEN;19
BERG Nora Flyvholm;DEN;80.000;84.000;9.963;63.555;JWOMEN;18
CAJAL CEBRIAN Angela;ESP;85.455;56.364;9.592;76.338;WOMEN;18
LANAU ESCOLANO Cristina;ESP;71.304;59.130;10.674;66.311;WOMEN;19
YUSTE LOPEZ Ainara;ESP;70.769;66.154;9.518;60.241;JWOMEN;17
AMOR LIZAMA Sara;ESP;40.000;40.000;3.194;61.237;JWOMEN;15
ERMITS Regina;EST;81.538;90.962;60.557;76.709;WOMEN;29
KUELM Susan;EST;85.263;83.684;59.773;76.548;WOMEN;29
TOMINGAS Tuuli;EST;90.303;76.667;54.373;69.852;WOMEN;30
TALIHAERM Johanna;EST;76.000;83.200;41.679;73.006;WOMEN;32
KAASIK Hanna-Brita;EST;82.800;65.600;34.222;61.838;WOMEN;26
VEERPALU Anlourdees;EST;85.000;82.500;21.238;73.501;WOMEN;19
VILIPUU Pillerin;EST;75.862;81.379;22.416;80.945;JWOMEN;19
KALDVEE Rosibel Marii;EST;67.273;72.727;29.669;75.740;JWOMEN;17
KALJUMAE Kretel;EST;83.210;67.407;30.102;66.455;JWOMEN;20
BAUMANN Jette Lee;EST;77.778;62.222;30.606;70.292;JWOMEN;15
KARSNA Mirtel;EST;80.000;78.095;24.370;64.212;JWOMEN;20
UIBO Nora-Liisa;EST;57.778;57.778;35.586;75.767;JWOMEN;16
KALJUMAEE Mirtel;EST;72.121;58.788;37.362;61.439;JWOMEN;17
GAIM Grete;EST;83.158;71.579;21.790;54.538;JWOMEN;32
RAJANDO Emma Roberta;EST;82.308;74.615;15.499;59.825;JWOMEN;21
KAERSNA Kaetrin;EST;69.697;77.576;9.050;68.164;JWOMEN;18
MAETAS Martiina;EST;60.000;66.667;16.632;66.856;JWOMEN;16
KONOPLJOVA Violetta;EST;87.273;83.636;1.000;28.957;JWOMEN;21
HUIK Mia Mai;EST;92.727;72.727;1.000;21.428;JWOMEN;19
BREMANN Eliisabet;EST;60.000;70.000;1.000;47.642;JWOMEN;21
SIMBERG Laureen;EST;68.000;76.000;1.000;17.559;JWOMEN;18
HEINSOO Triinu;EST;72.000;52.000;1.225;40.349;JWOMEN;17
TASA Mia-Grete;EST;72.000;56.000;1.000;13.028;JWOMEN;18
MINKKINEN Suvi;FIN;92.083;93.194;67.806;75.847;WOMEN;31
LEHTONEN Venla;FIN;84.706;82.353;60.770;69.832;WOMEN;30
LEINAMO Sonja;FIN;78.909;65.091;68.758;79.543;WOMEN;23
HAMALAINEN Inka;FIN;75.405;82.703;56.856;75.050;WOMEN;20
JANKA Erika;FIN;93.824;75.588;46.884;73.413;WOMEN;30
KERANEN Noora Kaisa;FIN;87.805;79.512;40.237;74.178;WOMEN;24
SANDNAES Rebecca;FIN;88.525;81.639;36.346;70.438;WOMEN;21
KUUTTINEN Heidi;FIN;88.500;76.000;34.068;72.418;JWOMEN;27
KOSKI Hanni;FIN;82.667;74.667;41.970;65.969;JWOMEN;18
