Name;Country;ProneAccuracy;StandingAccuracy;SkiSpeed;Stamina;Gender;Age
BOEHLKE Ine;NOR;80.000;80.000;28.467;49.495;JWOMEN;20
STAVIK Emilie;NOR;73.333;33.333;53.467;46.478;JWOMEN;22
FUGLEM Elida;NOR;66.667;73.333;38.239;37.041;JWOMEN;20
BRANNARE-GRAN Maren;NOR;93.333;60.000;34.877;1.000;JWOMEN;21
SIDOROWICZ Natalia;POL;88.333;83.833;61.529;78.157;WOMEN;27
ZUK Kamila;POL;72.453;77.736;68.834;77.686;WOMEN;28
JAKIELA Joanna;POL;88.200;70.800;64.518;73.187;WOMEN;26
MAKA Anna;POL;91.910;78.202;55.604;68.914;WOMEN;33
HOJNISZ-STAREGA Monika;POL;90.667;82.667;47.224;73.422;WOMEN;34
GEMBICKA Daria;POL;83.556;74.889;45.760;68.305;WOMEN;24
CICHON Kamila;POL;84.819;86.988;36.555;70.005;JWOMEN;28
CELCZYNSKA Wiktoria;POL;86.400;77.600;31.686;76.955;JWOMEN;25
NEDZA-KUBINIEC Anna;POL;82.469;78.519;42.562;62.829;JWOMEN;22
LISZKA Amelia;POL;84.545;75.909;35.834;69.884;JWOMEN;19
SKROBISZEWSKA Barbara;POL;85.500;71.000;33.697;59.095;JWOMEN;22
GERMATA Majka;POL;84.000;85.000;14.910;69.909;JWOMEN;19
SADOWNIK Zuzanna;POL;73.585;57.736;28.119;69.734;JWOMEN;20
SINKIEWICZ Justyna;POL;70.000;60.000;25.249;74.038;JWOMEN;18
NIEDURNY Klaudia;POL;81.860;69.302;10.303;71.556;JWOMEN;19
GASIENICA Gabriela;POL;79.286;66.429;12.464;48.909;JWOMEN;18
SZAJNOWSKA Aleksandra;POL;56.923;67.692;8.049;64.797;JWOMEN;20
TKOCZ Kinga;POL;72.000;56.000;2.460;65.705;JWOMEN;18
ZWOLINSKA Anita;POL;50.000;75.000;16.219;24.953;JWOMEN;18
TOLMACHEVA Anastasia;ROU;92.564;86.923;40.040;63.295;WOMEN;30
MEZDREA Andreea;ROU;73.538;69.538;48.111;60.378;WOMEN;24
CHIRKOVA Elena;ROU;80.000;78.824;36.754;67.182;WOMEN;31
RIMBEU Adelina;ROU;69.091;67.273;22.134;69.503;WOMEN;21
PUSCARIU Dorina;ROU;83.590;86.667;3.371;66.082;WOMEN;21
DUICU Maria;ROU;80.000;68.000;1.000;65.285;JWOMEN;20
SILLO Krisztina;ROU;71.429;62.857;1.000;47.777;JWOMEN;18
BECZE Eszter;ROU;47.500;45.000;4.018;71.605;JWOMEN;20
TAMAS Boroka;ROU;48.750;58.750;1.000;56.653;JWOMEN;17
SCHIOP Andreea;ROU;82.353;57.647;1.000;10.565;JWOMEN;20
SHEVCHENKO Natalia;RUS;85.047;87.477;73.454;68.544;WOMEN;25
TOMSHINA Anastasiia;RUS;94.545;94.545;62.440;76.990;WOMEN;25
REZTSOVA Kristina;RUS;87.129;79.406;72.285;75.549;WOMEN;29
KHALILI Anastasiia;RUS;82.903;79.032;74.185;72.541;WOMEN;26
SLIVKO Victoria;RUS;90.297;82.376;64.764;74.086;WOMEN;31
METELIA Victoriia;RUS;91.250;83.750;63.564;73.595;WOMEN;22
TERESHCHENKO Inna;RUS;82.090;78.806;67.787;76.448;WOMEN;21
KAZAKEVICH Irina;RUS;87.071;71.919;66.560;81.050;WOMEN;28
DERBUSHEVA Tamara;RUS;87.848;91.899;55.740;78.865;JWOMEN;30
GRISHINA Anastasiia;RUS;91.899;82.025;59.824;74.580;JWOMEN;23
SHEVCHENKO Anastasiia;RUS;83.441;82.151;62.184;76.145;JWOMEN;26
BOLDYREVA Margarita;RUS;82.456;77.895;61.685;76.388;JWOMEN;21
KOVALENKO Iuliia;RUS;86.916;82.243;59.158;72.390;JWOMEN;23
ZYRIANOVA Anastasiia;RUS;88.312;87.273;54.737;73.510;JWOMEN;24
FROLOVA Elizaveta;RUS;83.860;78.596;56.911;79.339;JWOMEN;22
BURUNDUKOVA Elizaveta;RUS;75.644;79.604;65.451;72.562;JWOMEN;29
MIRONOVA Svetlana;RUS;86.842;82.895;54.412;74.403;JWOMEN;31
DIUZHEVA Kira;RUS;79.753;70.864;65.212;72.167;JWOMEN;23
SHATOVA Anna;RUS;81.860;80.930;53.368;79.255;JWOMEN;22
SHEVNINA Polina;RUS;83.200;82.800;54.894;73.915;JWOMEN;28
PLIUSNINA Polina;RUS;92.432;82.703;54.927;67.748;JWOMEN;26
MOSHKOVA Ekaterina;RUS;89.149;72.128;61.073;66.702;JWOMEN;29
DOVGAYA Ksenia;RUS;84.444;78.148;56.298;70.940;JWOMEN;26
SUKHANOVA Ekaterina;RUS;88.649;82.703;48.768;70.249;JWOMEN;23
KAIUMOVA Valeriia;RUS;77.931;71.034;55.967;74.223;JWOMEN;28
SHADRINA Violetta;RUS;96.000;71.667;44.848;74.889;JWOMEN;20
KOVALEVA Antonina;RUS;87.931;75.862;50.011;71.410;JWOMEN;27
EGOROVA Anastasiia;RUS;72.584;69.663;60.695;70.929;JWOMEN;31
KARAMAN Kseniia;RUS;85.217;82.609;50.530;67.125;JWOMEN;22
PLITSEVA Alina;RUS;83.529;76.471;50.870;71.593;JWOMEN;23
KALININA Liubov;RUS;87.294;84.235;46.575;68.295;JWOMEN;24
DOLZHENKOVA Evgeniia;RUS;86.667;86.667;40.590;74.907;JWOMEN;22
GRIGOREVA Anna;RUS;90.370;83.333;45.042;68.598;JWOMEN;26
NASOTOVICH Elizaveta;RUS;89.189;70.811;47.394;70.651;JWOMEN;21
TURIKOVA Evgeniia;RUS;76.923;78.462;46.552;73.775;JWOMEN;32
SHISHKINA Vlada;RUS;73.333;86.667;38.290;79.446;JWOMEN;22
IVANOVA Amina;RUS;85.806;86.452;42.771;65.022;JWOMEN;24
PAVLUSHINA Kristina;RUS;83.000;83.750;42.957;65.610;JWOMEN;23
ZNAKOVA Ilona;RUS;89.565;75.652;33.915;77.562;JWOMEN;26
ZENOVA Anastasiia;RUS;78.974;80.769;49.181;60.504;JWOMEN;23
NETBAI Daria;RUS;81.765;74.706;45.682;58.466;JWOMEN;29
PURIK Ekaterina;RUS;81.538;83.846;22.320;65.873;JWOMEN;21
KLEMENCIC Polona;SLO;85.913;76.696;65.342;78.565;WOMEN;28
LAMPIC Anamarija;SLO;69.130;56.739;83.075;75.653;WOMEN;30
REPINC Lena;SLO;82.136;82.524;61.659;75.264;WOMEN;22
CASERMAN Manca;SLO;79.412;68.824;52.373;67.272;WOMEN;19
SEVER Ela;SLO;67.143;62.500;53.242;78.271;WOMEN;19
VINDISAR Klara;SLO;84.000;72.000;42.487;68.314;WOMEN;22
SPITALAR Ajda;SLO;90.556;89.444;23.374;72.307;JWOMEN;18
KLEMENCIC Ziva;SLO;78.356;61.918;42.966;72.391;JWOMEN;24
ZORC Kaja;SLO;88.000;60.000;33.845;71.275;JWOMEN;22
PELAN Nika;SLO;88.750;80.000;21.976;61.832;JWOMEN;17
HACE Kiara;SLO;80.678;63.390;24.452;56.584;JWOMEN;20
POGACNIK Nina;SLO;76.429;71.429;23.011;51.866;JWOMEN;20
FUNDA Nikita;SLO;78.750;78.750;14.469;49.541;JWOMEN;19
MARIC Kaja;SLO;78.800;66.400;28.643;32.856;JWOMEN;22
BRAUN Hanna Jelena;SRB;80.690;62.759;12.321;66.284;WOMEN;18
BUCIC Emilija;SRB;69.231;50.256;1.000;3.771;WOMEN;20
SALIHAGIC Lamija;SRB;69.189;59.459;14.515;68.777;JWOMEN;17
BASERGA Amy;SUI;90.756;80.168;65.407;75.798;WOMEN;25
MEIER Lea;SUI;89.903;79.806;66.987;70.207;WOMEN;24
HAECKI-GROSS Lena;SUI;84.667;78.667;62.569;77.182;WOMEN;30
GASPARIN Aita;SUI;89.533;83.551;57.934;76.624;WOMEN;31
METTLER Lydia;SUI;80.000;68.276;59.887;67.179;WOMEN;29
LANGEL Coralie;SUI;83.226;82.581;48.107;64.829;WOMEN;24
KAFKA Molly;SUI;86.452;71.613;43.939;70.226;WOMEN;18
BAUMANN Lena;SUI;79.167;76.667;44.161;70.741;WOMEN;19
LAAGER Alessia;SUI;83.544;82.025;38.959;72.266;JWOMEN;20
MEINEN Susanna;SUI;75.556;57.143;52.026;73.764;JWOMEN;33
FISCHER Anja;SUI;90.303;75.152;30.643;72.867;JWOMEN;26
IMWINKELRIED Sophia;SUI;83.226;65.161;38.761;69.621;JWOMEN;18
CADURISCH Irene;SUI;84.762;79.048;33.082;66.910;JWOMEN;34
RIETVELD Ronja;SUI;87.083;76.667;31.592;65.716;JWOMEN;21
PILLER Giannina;SUI;56.667;78.333;51.482;54.179;JWOMEN;17
BENDERER Marina;SUI;81.667;82.778;21.470;62.262;JWOMEN;20
BERWERT Lara;SUI;79.487;75.385;18.271;72.853;JWOMEN;22
MUERNER Enya;SUI;83.077;75.385;15.261;69.706;JWOMEN;21
MATOSSI Nina;SUI;70.000;85.000;16.733;54.408;JWOMEN;17
STALDER Evelyn;SUI;60.000;60.000;20.906;64.321;JWOMEN;19
BATOVSKA FIALKOVA Paulina;SVK;86.018;77.876;71.700;75.760;WOMEN;33
KAPUSTOVA Ema;SVK;90.750;90.500;52.225;61.520;WOMEN;23
KUZMINA Anastasiya;SVK;74.943;75.402;68.222;57.766;WOMEN;41
REMENOVA Zuzana;SVK;80.000;81.333;53.755;61.907;WOMEN;25
MOLENTOVA Tamara;SVK;91.646;78.734;44.120;74.357;WOMEN;20
REMENOVA Maria;SVK;78.889;80.278;50.406;71.093;WOMEN;25
STRAKOVA Michaela;SVK;80.000;85.556;39.847;74.163;JWOMEN;18
PACEROVA Sara;SVK;76.500;71.000;31.482;70.229;JWOMEN;22
MACHYNIAKOVA Julia;SVK;90.545;80.364;33.671;48.583;JWOMEN;25
MICHALECHOVA Veronika;SVK;71.148;86.557;22.693;67.708;JWOMEN;20
GARGULAKOVA Alzbeta;SVK;63.529;60.588;34.847;73.326;JWOMEN;19
ZVAROVA Ema;SVK;81.500;72.000;26.855;54.772;JWOMEN;20
MOLNAROVA Eliska;SVK;73.846;73.846;29.488;54.233;JWOMEN;19
TOTHOVA Rebeka;SVK;77.778;71.111;25.866;55.154;JWOMEN;20
VORKOVA Lucia;SVK;70.000;65.000;23.470;64.330;JWOMEN;19
MESZAROSOVA Lea;SVK;57.143;77.143;17.028;43.884;JWOMEN;22
SKARVADOVA Nina;SVK;50.000;80.000;22.255;18.326;JWOMEN;19
GRNACOVA Zora;SVK;45.000;70.000;8.582;46.042;JWOMEN;19
LIPTAIOVA Adela;SVK;60.000;1.000;7.365;80.003;JWOMEN;18
OEBERG Elvira;SWE;88.702;85.038;77.886;79.059;WOMEN;26
MAGNUSSON Anna;SWE;88.921;87.626;71.035;75.651;WOMEN;30
OEBERG Hanna;SWE;84.186;80.620;75.439;77.164;WOMEN;30
GESTBLOM Linn;SWE;90.667;76.667;70.572;79.237;WOMEN;31
HALVARSSON Ella;SWE;91.264;82.759;66.962;73.186;WOMEN;26
HEIJDENBERG Anna-Karin;SWE;83.636;77.955;69.699;75.263;WOMEN;25
SKOTTHEIM Johanna;SWE;84.054;83.243;61.497;71.802;WOMEN;31
NILSSON Emma;SWE;90.612;85.510;56.099;73.621;WOMEN;32
ANDERSSON Sara;SWE;84.054;72.973;63.265;78.013;JWOMEN;22
HEDSTROM Anna;SWE;76.901;81.408;58.075;73.588;JWOMEN;28
LIND Annie;SWE;79.000;82.000;54.470;74.738;JWOMEN;28
HAGG EVEBY Lydia;SWE;96.000;72.000;40.731;69.801;JWOMEN;18
OSTERMAN Erika;SWE;91.429;87.143;39.829;58.941;JWOMEN;24
NORDQVIST Johanna;SWE;81.609;73.333;48.285;61.955;JWOMEN;25
LINDQVIST Nicolina;SWE;96.000;76.667;29.414;63.377;JWOMEN;28
ERIKSSON Ida;SWE;81.818;80.909;28.832;73.439;JWOMEN;20
GRONBORG Nilla;SWE;92.000;80.000;26.539;68.515;JWOMEN;18
BRANDT Elsa;SWE;85.405;76.216;37.203;58.721;JWOMEN;20
TANGLANDER Elsa;SWE;60.000;60.000;42.282;75.193;JWOMEN;18
BJOERN Wilma;SWE;74.286;68.571;28.405;71.676;JWOMEN;23
HAGSTROEM Astrid;SWE;96.000;64.000;29.476;55.210;JWOMEN;17
LINDQVIST SELDAHL Greta;SWE;71.429;82.857;32.296;49.625;JWOMEN;20
BACKEN Ida;SWE;80.000;60.000;19.109;62.930;JWOMEN;20
KARLSTEDT Astrid;SWE;56.667;66.667;38.192;48.271;JWOMEN;20
TUNCER Ebru;TUR;60.000;64.000;1.000;68.063;WOMEN;22
TEKIN Rabia;TUR;24.000;44.000;1.000;9.807;JWOMEN;17
DMYTRENKO Khrystyna;UKR;92.264;90.943;55.465;73.257;WOMEN;26
DZHIMA Yuliia;UKR;93.333;88.718;53.253;74.321;WOMEN;35
MERKUSHYNA Oleksandra;UKR;85.600;84.800;51.114;69.585;WOMEN;20
DMYTRENKO Valeriia;UKR;86.786;91.786;43.345;76.829;WOMEN;28
HORODNA Olena;UKR;88.333;76.250;55.301;57.062;WOMEN;21
PETRENKO Iryna;UKR;91.111;86.667;46.538;61.527;WOMEN;33
MERKUSHYNA Anastasiya;UKR;82.571;78.000;47.686;79.949;WOMEN;30
TARASIUK Tetiana;UKR;89.063;87.188;42.468;71.090;JWOMEN;20
CHALYK Daryna;UKR;80.678;73.898;51.300;63.414;JWOMEN;24
KHVOSTENKO Viktoriia;UKR;85.417;81.667;39.803;66.566;JWOMEN;18
PRYKHODKO Kseniia;UKR;83.509;82.456;46.652;57.960;JWOMEN;20
PUTSKO Polina;UKR;77.358;78.868;41.749;66.860;JWOMEN;19
KRYVONOS Anna;UKR;94.286;78.571;39.348;58.665;JWOMEN;28
STEBLYNA Liliia;UKR;85.000;67.895;45.831;62.298;JWOMEN;25
SHEIHAS Valeriia;UKR;87.917;75.833;36.944;66.886;JWOMEN;19
KHMIL Alina;UKR;76.410;73.333;43.862;65.750;JWOMEN;18
SHEVCHENKO Iryna;UKR;91.064;79.149;38.650;54.335;JWOMEN;19
BIELKINA Nadiia;UKR;79.429;74.857;39.612;58.961;JWOMEN;35
KYPIACHENKOVA Liubov;UKR;88.966;64.138;36.223;63.980;JWOMEN;26
TARASIUK Iryna;UKR;88.000;88.000;13.793;76.045;JWOMEN;21
KALYTA Varvara;UKR;70.000;80.000;12.958;51.134;JWOMEN;18
IRWIN Deedra;USA;89.293;82.828;64.344;74.255;WOMEN;33
FREED Margie;USA;86.933;71.467;62.479;75.750;WOMEN;28
LEVINS Chloe;USA;91.111;85.432;47.100;74.993;WOMEN;27
ANDERSON Luci;USA;74.815;56.296;69.022;68.336;WOMEN;25
REID Joanne;USA;89.630;68.889;53.201;71.345;WOMEN;33
CASTONGUAY Grace;USA;75.938;75.938;40.217;66.152;JWOMEN;24
DICKINSON Kelsey;USA;92.500;88.571;27.389;60.178;JWOMEN;32
GARSO Jackie;USA;80.800;79.200;33.290;63.114;JWOMEN;26
GERAGHTY-MOATS Tara;USA;73.333;63.333;30.721;77.523;JWOMEN;32
VANDORN Abigail;USA;82.857;70.000;22.591;71.322;JWOMEN;19
BOULEY Cheresa;USA;80.000;66.667;28.965;66.108;JWOMEN;25
FARRA Lina;USA;87.143;78.571;17.136;67.835;JWOMEN;24
FINCH Haley;USA;91.538;83.846;3.754;74.577;JWOMEN;19
BAIRD Annelise;USA;68.800;60.000;27.573;70.092;JWOMEN;18
PAYSON Mirra;USA;73.333;73.333;16.753;63.210;JWOMEN;20
BARTON Brenna;USA;80.000;70.000;5.064;72.502;JWOMEN;19
RUD Alexandra;USA;86.667;60.000;14.221;58.793;JWOMEN;21
KELLER-MILLER Michaela;USA;53.333;53.333;40.846;49.477;JWOMEN;28
NOBLE Zoe;USA;60.000;40.000;13.588;85.389;JWOMEN;25
TAYLOR Alexandria;USA;66.667;51.111;10.032;73.147;JWOMEN;18
COBB Virginia;USA;60.000;60.000;14.269;60.115;JWOMEN;20
BOWEN Seven;USA;54.667;60.000;12.926;50.204;JWOMEN;18
LEMOINE Megan;USA;84.000;56.000;5.764;41.801;JWOMEN;18
MADIGAN Lexie;USA;60.000;1.000;31.346;28.167;JWOMEN;23
GIMENEZ Javier;ARG;72.963;77.407;16.393;61.788;MEN;27
STANISH Boris;AUS;75.745;75.319;27.561;58.044;MEN;20
BRADFORD Noah;AUS;78.723;74.043;24.606;56.827;MEN;22
SPARKE Phoenix;AUS;75.273;59.273;30.987;61.518;JMEN;19
JOHNSON Samuel;AUS;52.000;56.000;13.407;61.484;JMEN;19
BLACKWELL Nicholas;AUS;55.000;45.000;20.449;45.502;JMEN;26
EDER Simon;AUT;94.894;83.617;56.558;73.916;MEN;42
UNTERWEGER Dominic;AUT;87.500;92.500;47.843;77.941;MEN;26
MUELLAUER Fabian;AUT;80.270;63.514;60.482;78.766;MEN;22
JAKOB Patrick;AUT;80.392;84.510;54.050;66.869;MEN;29
KOMATZ David;AUT;89.552;77.612;51.315;68.478;MEN;34
MARCHL Thomas;AUT;85.970;84.478;48.658;72.714;MEN;20
HASLINGER Lukas;AUT;78.621;77.586;52.663;73.244;JMEN;22
OBERHAUSER Magnus;AUT;86.061;77.980;50.362;70.971;JMEN;27
MUEHLBACHER Fredrik;AUT;80.533;76.267;52.849;68.523;JMEN;27
TRIXL Sebastian;AUT;73.333;70.000;50.350;76.233;JMEN;28
PINTER Matti;AUT;85.000;76.250;37.594;74.692;JMEN;18
MESOTITSCH Sami;AUT;64.706;63.529;53.304;74.785;JMEN;21
DANKL Stefan;AUT;78.462;60.769;46.526;76.183;JMEN;22
STEINER Magnus;AUT;75.349;84.186;40.459;69.530;JMEN;19
NEUMAYR David;AUT;92.500;67.500;40.215;64.693;JMEN;23
SCHOENAIGNER Matthaeus;AUT;58.095;65.714;50.444;70.213;JMEN;19
STEINER Raphael;AUT;64.444;74.444;44.287;66.131;JMEN;23
LIENBACHER Oliver;AUT;79.167;69.167;45.013;58.525;JMEN;23
GLASSER Daniel;AUT;88.696;73.913;35.964;58.637;JMEN;21
PROSSER Mathias;AUT;58.571;62.857;46.392;69.987;JMEN;20
ANKER Matteo;AUT;82.500;60.000;36.640;66.637;JMEN;19
HECHENBERGER Andreas;AUT;80.000;75.556;41.674;50.913;JMEN;25
PROSSER Maximilian;AUT;63.636;69.091;43.806;62.465;JMEN;24
ERMOLOV Georgii;AUT;67.500;66.250;40.095;64.792;JMEN;17
LANGEGGER Christian;AUT;75.714;51.429;47.939;53.945;JMEN;24
WEIGL Alexander;AUT;72.000;68.000;35.913;59.089;JMEN;20
GRUBMUELLER Jakob;AUT;96.000;40.000;6.497;72.921;JMEN;20
DANKL Thomas;AUT;80.000;70.000;12.973;52.402;JMEN;20
CLAUDE Florent;BEL;83.333;85.111;59.434;74.061;MEN;34
LANGER Thierry;BEL;83.095;85.714;57.896;72.313;MEN;34
BEAUVAIS Cesar;BEL;83.175;71.429;47.833;70.541;MEN;25
MACKELS Marek;BEL;85.882;63.137;47.018;76.287;MEN;26
PARMANTIER Sam;BEL;77.826;73.478;37.945;68.167;MEN;20
PETITJACQUES Julien;BEL;86.383;66.809;33.773;62.176;MEN;22
SOLTANI Noah;BEL;60.000;33.333;3.860;65.269;JMEN;16
LALOVIC Srdjan;BIH;68.500;59.000;22.494;75.282;MEN;18
ERIC Strahinja;BIH;40.000;36.000;30.722;62.714;MEN;25
STANOJEVIC Boris;BIH;65.263;56.842;3.473;40.359;JMEN;19
COSOVIC Stefan;BIH;60.000;48.000;1.000;22.293;JMEN;15
SMOLSKI Anton;BLR;83.836;87.945;63.799;72.686;MEN;29
LABASTAU Mikita;BLR;83.373;88.193;56.571;72.875;MEN;28
LAZOUSKI Dzmitry;BLR;87.458;75.593;59.488;73.218;MEN;27
VARABEI Maksim;BLR;86.933;77.067;57.755;71.291;MEN;30
DANILAU Stsiapan;BLR;90.526;81.404;50.361;68.923;MEN;27
TULATSIN Ivan;BLR;77.966;72.542;56.436;75.429;MEN;24
AUSEYENKA Ilya;BLR;79.474;85.263;50.256;74.226;MEN;27
GOLYAK Aleksandr;BLR;87.500;81.667;46.663;75.135;JMEN;22
BELKO Pavel;BLR;82.759;81.034;47.407;74.008;JMEN;25
ORLOVSKIY Gleb;BLR;68.966;87.586;41.269;73.805;JMEN;21
LOGVINOV Aleksey;BLR;80.000;84.000;36.045;70.026;JMEN;22
BABUROV Konstantyn;BLR;84.000;80.000;30.988;68.716;JMEN;22
GAVROSH Andrey;BLR;82.222;84.444;36.797;58.210;JMEN;22
ERYOMOV Denis;BLR;80.000;80.000;32.649;52.641;JMEN;22
WRONA Fabian;BRA;60.000;54.167;13.674;56.665;MEN;18
OLIVEIRA Claudio;BRA;52.903;34.194;2.321;45.311;MEN;21
TODEV Blagoy;BUL;88.421;86.667;53.618;74.984;MEN;24
ILIEV Vladimir;BUL;66.301;72.877;62.251;74.819;MEN;38
VASILEV Konstantin;BUL;74.857;71.429;53.841;76.322;MEN;22
SINAPOV Anton;BUL;89.615;67.692;42.279;69.876;MEN;32
ZASHEV Vasil;BUL;74.615;75.385;43.885;64.061;MEN;23
DZHORGOV Georgi;BUL;77.692;78.462;37.546;76.426;MEN;18
NAUMOV Georgi;BUL;80.755;67.547;30.363;78.011;JMEN;20
BELCHINSKI Veselin;BUL;69.643;77.143;31.809;65.679;JMEN;19
NIKOLOV Nikolay;BUL;78.378;64.324;30.105;69.084;JMEN;18
KARABADZHAKOV Valentin;BUL;74.286;65.238;28.895;63.115;JMEN;23
NOCHEV Andrey;BUL;65.714;65.714;3.909;76.838;JMEN;18
STOYANOV Blagovest;BUL;96.000;60.000;1.809;57.207;JMEN;23
DANADZHIEV Tsvetan;BUL;74.000;74.000;9.297;47.239;JMEN;21
SHAMOV Yoan;BUL;70.000;55.000;1.000;53.294;JMEN;16
ALEKSANDROV Dimitar;BUL;50.000;65.000;1.000;48.130;JMEN;18
SHUSHKOV Maksim;BUL;62.857;54.286;1.000;33.511;JMEN;16
HRISTOV Martin;BUL;51.429;51.429;1.000;46.133;JMEN;16
RUNNALLS Adam;CAN;83.421;74.737;53.031;73.196;MEN;27
CONNELLY Zachary;CAN;81.176;65.882;57.194;68.806;MEN;24
PLETZ Logan;CAN;78.889;75.556;46.286;65.384;MEN;25
BORGLUM Haldan;CAN;78.261;78.261;41.871;58.917;MEN;26
STRUM Matthew;CAN;80.769;85.000;35.040;54.458;MEN;30
TINWORTH Liam;CAN;80.000;66.000;29.534;79.548;JMEN;21
BROUSSEAU Benjamin;CAN;76.000;82.000;30.114;68.900;JMEN;20
HULSHOF Luke;CAN;71.667;73.333;38.542;64.386;JMEN;19
WILSON Rory;CAN;91.429;85.714;13.444;71.294;JMEN;19
JOHNSTON Gavin;CAN;91.200;85.600;27.448;46.543;JMEN;22
MCCULLOCH Malcolm;CAN;61.818;76.364;33.150;62.722;JMEN;19
FLEMING Jasper;CAN;66.400;62.000;46.012;50.526;JMEN;20
DE BROECK Jean-Nicolas;CAN;60.000;76.000;36.956;57.214;JMEN;20
GILFILLAN Daniel;CAN;82.222;84.444;17.931;48.098;JMEN;21
BRINDLE William;CAN;80.000;60.000;16.494;61.908;JMEN;19
SMITH Lucas;CAN;60.000;63.333;24.528;55.065;JMEN;25
GAUTHIER Francois;CAN;70.000;63.333;23.561;42.762;JMEN;21
ELDEN Ryan;CAN;76.000;72.000;18.132;36.213;JMEN;26
SIMONS Liam;CAN;60.000;60.000;12.644;51.603;JMEN;21
NILSSON Max;CAN;72.000;68.000;1.000;36.314;JMEN;20
FLORES LOPEZ Martin;CHI;40.000;10.667;6.101;20.867;MEN;23
YAN Xingyuan;CHN;85.854;74.634;51.486;73.639;MEN;29
SONG Chen;CHN;82.857;82.857;32.631;80.237;MEN;25
GU Cang;CHN;79.310;81.379;35.875;70.541;MEN;23
HU Weiyao;CHN;86.667;86.667;24.068;76.183;MEN;26
LI Xuezhi;CHN;93.333;63.333;24.343;68.427;JMEN;34
GOU Zhendong;CHN;76.000;80.000;10.924;55.258;JMEN;23
LEGOVIC Matija;CRO;83.871;72.258;55.459;69.826;MEN;20
CRNKOVIC Kresimir;CRO;83.636;70.606;51.708;77.678;MEN;30
CRNIC Filip;CRO;57.647;58.824;15.959;72.456;MEN;19
KRCMAR Michal;CZE;90.290;77.826;67.631;76.055;MEN;34
HORNIG Vitezslav;CZE;85.714;85.079;66.442;76.029;MEN;26
KARLIK Mikulas;CZE;78.476;66.857;67.262;71.211;MEN;26
MIKYSKA Tomas;CZE;78.810;84.286;59.579;70.532;MEN;25
MARECEK Jonas;CZE;85.313;83.125;56.125;64.524;MEN;24
VACLAVIK Adam;CZE;85.909;63.409;61.330;72.344;MEN;31
STVRTECKY Jakub;CZE;77.045;66.818;61.305;73.372;MEN;27
HAK Petr;CZE;85.758;73.636;53.994;74.544;JMEN;22
MALEK Michael;CZE;80.000;93.333;42.496;77.107;JMEN;18
ELIAS David;CZE;80.656;76.393;49.863;68.782;JMEN;20
BOUSKA Jakub;CZE;75.294;68.235;46.735;81.059;JMEN;19
GREGOR Jan;CZE;80.000;67.647;48.084;73.712;JMEN;21
KOCMANEK Vladimir;CZE;78.246;72.632;47.724;69.049;JMEN;20
ABRAHAM Ludek;CZE;73.846;67.692;48.617;73.852;JMEN;23
RYSKA Daniel;CZE;88.333;81.667;36.428;70.071;JMEN;18
SUCHARDA Tomas;CZE;89.474;73.684;33.958;75.057;JMEN;20
MALUSEK Daniel;CZE;91.500;74.500;38.964;66.464;JMEN;21
BLAHA Jiri;CZE;78.261;68.696;37.311;71.047;JMEN;21
MARTAN Matyas;CZE;83.784;78.919;44.756;46.786;JMEN;21
VEJVODA Lukas;CZE;80.000;60.000;18.431;84.648;JMEN;17
DOLECEK Premysl;CZE;70.000;75.000;29.229;61.398;JMEN;18
HANUS Adam;CZE;96.000;60.000;15.282;47.970;JMEN;17
BLAHA Michal;CZE;40.000;40.000;31.948;70.999;JMEN;21
KAMARAD Jan;CZE;60.000;70.000;27.635;40.137;JMEN;20
HURTA Simon;CZE;40.000;60.000;26.962;46.780;JMEN;19
SCHIELLERUP Rasmus;DEN;80.417;76.667;25.974;75.892;MEN;24
ROSBO Joachim Weel;DEN;58.621;57.241;39.614;76.015;MEN;28
ROSBO Jacob Weel;DEN;48.696;55.217;41.661;73.527;MEN;25
FRISK Emil;DEN;81.702;70.213;21.911;65.228;MEN;20
BOYE Asbjorn;DEN;78.571;50.000;16.142;55.856;JMEN;21
BOYE Asbjoern;DEN;80.000;70.000;22.607;30.294;JMEN;21
DALGAARD Jens;DEN;54.545;54.545;7.110;72.780;JMEN;22
GROENNING Osvald;DEN;76.522;64.348;5.414;45.848;JMEN;22
PIQUERAS GARCIA Roberto;ESP;74.545;80.000;20.865;44.612;MEN;35
SANZ CALLEJA Guzman;ESP;65.652;70.435;14.288;74.589;MEN;41
GARCIA ASUN Miguel;ESP;65.000;70.000;6.456;77.584;JMEN;19
ESCUDERO CASAJUS Bruno;ESP;50.000;70.000;9.188;73.800;JMEN;18
LANAU ESCOLANO Adrian;ESP;50.000;60.000;12.526;61.187;JMEN;17
PASTOR SESE Fernando;ESP;75.000;60.000;16.090;35.257;JMEN;19
ESCUDERO CASAJUS Hugo;ESP;76.000;40.000;2.258;65.706;JMEN;22
SIIMER Kristo;EST;88.372;80.465;58.839;72.507;MEN;26
ZAHKNA Rene;EST;87.059;80.000;53.318;72.925;MEN;31
KEHVA Mark-Markos;EST;89.231;85.231;48.803;76.097;MEN;21
KULBIN Jakob;EST;70.149;86.567;48.973;78.828;MEN;20
UDAM Mehis;EST;78.065;78.710;49.948;70.685;MEN;21
VARIKOV Daniel;EST;86.364;77.273;43.399;70.237;MEN;18
HELDNA Robert;EST;86.667;66.667;39.146;79.045;JMEN;26
